,M4_H4
IndexTimeSec,ValuesNumerical
dateformat=%d/%m/%Y %H:%M,
02/12/2018 22:00,6324
02/12/2018 23:00,6075
03/12/2018 00:00,5949
03/12/2018 01:00,5858
03/12/2018 02:00,5579
03/12/2018 03:00,5163
03/12/2018 04:00,4790
03/12/2018 05:00,4478
03/12/2018 06:00,4227
03/12/2018 07:00,4016
03/12/2018 08:00,3879
03/12/2018 09:00,3821
03/12/2018 10:00,3823
03/12/2018 11:00,3960
03/12/2018 12:00,4169
03/12/2018 13:00,4377
03/12/2018 14:00,4597
03/12/2018 15:00,4864
03/12/2018 16:00,5183
03/12/2018 17:00,5440
03/12/2018 18:00,5707
03/12/2018 19:00,5937
03/12/2018 20:00,6089
03/12/2018 21:00,6097
03/12/2018 22:00,6018
03/12/2018 23:00,5783
04/12/2018 00:00,5655
04/12/2018 01:00,5581
04/12/2018 02:00,5320
04/12/2018 03:00,4909
04/12/2018 04:00,4509
04/12/2018 05:00,4189
04/12/2018 06:00,3964
04/12/2018 07:00,3794
04/12/2018 08:00,3680
04/12/2018 09:00,3682
04/12/2018 10:00,3693
04/12/2018 11:00,
04/12/2018 12:00,4108
04/12/2018 13:00,4376
04/12/2018 14:00,4675
04/12/2018 15:00,4995
04/12/2018 16:00,5310
04/12/2018 17:00,5541
04/12/2018 18:00,5810
04/12/2018 19:00,6066
04/12/2018 20:00,6282
04/12/2018 21:00,6411
04/12/2018 22:00,6396
04/12/2018 23:00,6194
05/12/2018 00:00,5962
05/12/2018 01:00,5810
05/12/2018 02:00,5525
05/12/2018 03:00,5123
05/12/2018 04:00,4767
05/12/2018 05:00,4450
05/12/2018 06:00,4205
05/12/2018 07:00,4020
05/12/2018 08:00,3891
05/12/2018 09:00,3845
05/12/2018 10:00,3855
05/12/2018 11:00,3820
05/12/2018 12:00,3851
05/12/2018 13:00,3959
05/12/2018 14:00,4121
05/12/2018 15:00,4305
05/12/2018 16:00,4493
05/12/2018 17:00,4672
05/12/2018 18:00,4846
05/12/2018 19:00,5008
05/12/2018 20:00,5050
05/12/2018 21:00,5187
05/12/2018 22:00,5353
05/12/2018 23:00,5287
06/12/2018 00:00,5123
06/12/2018 01:00,5068
06/12/2018 02:00,4886
06/12/2018 03:00,4567
06/12/2018 04:00,4272
06/12/2018 05:00,4008
06/12/2018 06:00,3804
06/12/2018 07:00,3623
06/12/2018 08:00,3495
06/12/2018 09:00,3414
06/12/2018 10:00,3343
06/12/2018 11:00,3377
06/12/2018 12:00,3629
06/12/2018 13:00,3975
06/12/2018 14:00,4347
06/12/2018 15:00,4678
06/12/2018 16:00,4922
06/12/2018 17:00,5132
06/12/2018 18:00,5270
06/12/2018 19:00,
06/12/2018 20:00,5552
06/12/2018 21:00,5684
06/12/2018 22:00,5663
06/12/2018 23:00,5463
07/12/2018 00:00,5236
07/12/2018 01:00,5050
07/12/2018 02:00,4804
07/12/2018 03:00,4573
07/12/2018 04:00,4291
07/12/2018 05:00,4044
07/12/2018 06:00,3833
07/12/2018 07:00,3690
07/12/2018 08:00,3574
07/12/2018 09:00,3501
07/12/2018 10:00,3440
07/12/2018 11:00,3405
07/12/2018 12:00,3548
07/12/2018 13:00,3829
07/12/2018 14:00,4191
07/12/2018 15:00,4539
07/12/2018 16:00,4837
07/12/2018 17:00,5065
07/12/2018 18:00,5257
07/12/2018 19:00,5330
07/12/2018 20:00,5355
07/12/2018 21:00,5353
07/12/2018 22:00,5337
07/12/2018 23:00,5211
08/12/2018 00:00,5006
08/12/2018 01:00,4910
08/12/2018 02:00,4663
08/12/2018 03:00,4324
08/12/2018 04:00,3992
08/12/2018 05:00,3749
08/12/2018 06:00,3592
08/12/2018 07:00,3474
08/12/2018 08:00,3431
08/12/2018 09:00,3452
08/12/2018 10:00,3509
08/12/2018 11:00,3613
08/12/2018 12:00,3763
08/12/2018 13:00,4019
08/12/2018 14:00,4271
08/12/2018 15:00,4578
08/12/2018 16:00,4856
08/12/2018 17:00,5107
08/12/2018 18:00,5386
08/12/2018 19:00,5648
08/12/2018 20:00,5875
08/12/2018 21:00,6006
08/12/2018 22:00,6056
08/12/2018 23:00,5884
09/12/2018 00:00,5630
09/12/2018 01:00,5448
09/12/2018 02:00,5125
09/12/2018 03:00,4704
09/12/2018 04:00,4304
09/12/2018 05:00,4017
09/12/2018 06:00,3804
09/12/2018 07:00,3644
09/12/2018 08:00,3527
09/12/2018 09:00,3517
09/12/2018 10:00,3557
09/12/2018 11:00,3750
09/12/2018 12:00,4026
09/12/2018 13:00,4276
09/12/2018 14:00,4524
09/12/2018 15:00,4835
09/12/2018 16:00,5110
09/12/2018 17:00,5381
09/12/2018 18:00,5655
09/12/2018 19:00,5905
09/12/2018 20:00,6075
09/12/2018 21:00,6154
09/12/2018 22:00,6163
09/12/2018 23:00,6014
10/12/2018 00:00,5809
10/12/2018 01:00,5615
10/12/2018 02:00,5269
10/12/2018 03:00,4833
10/12/2018 04:00,4376
10/12/2018 05:00,4007
10/12/2018 06:00,3765
10/12/2018 07:00,3561
10/12/2018 08:00,3451
10/12/2018 09:00,3436
10/12/2018 10:00,3476
10/12/2018 11:00,3616
10/12/2018 12:00,3880
10/12/2018 13:00,4152
10/12/2018 14:00,4431
10/12/2018 15:00,4736
10/12/2018 16:00,5007
10/12/2018 17:00,5206
10/12/2018 18:00,5452
10/12/2018 19:00,5703
10/12/2018 20:00,5900
10/12/2018 21:00,6041
10/12/2018 22:00,6095
10/12/2018 23:00,5920
11/12/2018 00:00,5650
